"Tm","n","year","GP","G","A","PTS","PIM","PS","EV","PP","SH","GW","EV.1","PP.1","SH.1","S","S.","TOI","ATOI","BLK","HIT","FOW","FOL","FO."
"ANA",27,2023,3631,505,1076,1581,2246,192.5,387,97,21,84,790,273,13,5792,477.3,65097,64011,3547,4515,7621,7503,1753.5
"ARI",35,2023,3363,459,761,1220,1872,125.1,330,114,15,62,555,192,14,5124,460.4,57640,53377,2888,5020,5797,6087,1460.2
"ATL",2,2011,149,20,29,49,142,4,15,5,0,3,24,5,0,192,21.7,1816,1435,54,189,7,14,38.9
"BOS",39,2023,5571,649,1205,1854,3488,268.4,524,103,22,113,975,197,33,8716,633.8,88251,91882,4679,7932,7070,6928,2359.9
"BUF",39,2023,6456,855,1532,2387,3265,266.4,642,188,25,112,1122,385,25,10356,876.2,111205,111772,5314,8233,6774,7860,2630
"CAR",26,2023,3921,688,1138,1826,1809,208,523,135,30,130,836,274,28,6846,539.4,63911,57929,2608,4537,7993,7293,1799.9
"CBJ",33,2023,4057,554,1134,1688,1916,197.8,443,90,21,98,890,222,22,6283,526.2,69781,68353,3570,4751,6201,6954,1826.1
"CGY",47,2023,6764,1305,2145,3450,3452,386,989,272,44,210,1553,555,37,12337,1044.6,111152,103239,4468,7245,14053,13934,3539.2
"CHI",38,2023,3256,384,611,995,1499,100,318,57,9,65,509,85,17,4464,456.6,49242,54457,2418,3951,4701,5172,1941
"COL",38,2023,5264,1283,2037,3320,3105,388.8,936,327,20,223,1402,616,19,11663,859.6,94402,91188,3837,6074,13366,13088,3143.9
"DAL",40,2023,6299,940,1769,2709,3874,338.1,716,197,27,168,1277,457,35,10461,790.4,108462,99733,5665,8144,9449,9120,2673.6
"DET",31,2023,4836,796,1251,2047,2011,228.5,606,165,25,113,1000,231,20,8837,632.8,81975,83771,3314,4878,11948,11476,2397.6
"EDM",42,2023,5500,1022,1538,2560,3135,276.8,729,253,40,149,1149,352,37,9393,926.3,88583,87147,3725,8002,10577,10091,2943.7
"FLA",42,2023,5137,903,1528,2431,2769,291.5,652,227,24,138,1085,417,26,9576,687.1,89568,85445,4177,6807,11390,11281,2231.9
"LAK",31,2023,6213,980,1561,2541,3251,350.3,748,204,28,183,1155,381,25,11538,772.5,105416,99423,4405,8735,8503,8484,3307.1
"MIN",40,2023,6238,1197,1856,3053,3634,375.9,886,279,32,204,1384,449,23,11682,936.8,106365,100630,4671,7320,9767,10301,2961.3
"MTL",40,2023,5162,897,1493,2390,2643,334,664,213,20,155,1058,408,27,9591,747,93864,95089,5136,6338,5405,5290,1961.7
"NJD",28,2023,4293,606,1108,1714,2146,220.7,457,122,27,86,839,241,28,7027,562.7,76945,71998,3630,4962,7609,7277,1496.2
"NSH",44,2023,7187,1316,1882,3198,3666,401.5,984,293,39,221,1417,436,29,12999,1063.7,118809,112138,5042,9037,13500,12435,3728.2
"NYI",45,2023,9044,1546,2483,4029,4017,515.1,1186,307,53,231,1888,551,44,15940,1319.5,157521,150200,8806,12141,11650,12255,4072.8
"NYR",35,2023,5167,749,1501,2250,2656,287.5,615,119,15,129,1134,334,33,8251,691.9,86692,82912,4255,7083,8091,8254,2310.7
"OTT",34,2023,4960,695,1210,1905,2727,216.5,523,142,30,103,941,234,35,8449,611.8,83836,81614,4478,6985,8634,8586,2179.2
"PHI",36,2023,4658,645,1089,1734,2779,213.6,487,144,14,114,804,259,26,7357,595.9,77674,75456,4546,6972,6270,6570,2002.6
"PHX",11,2014,1359,225,405,630,681,82.9,179,39,7,39,274,121,10,2682,188.8,24533,24067,998,1731,1689,1520,642.7
"PIT",45,2023,5644,827,1383,2210,2612,282.2,622,173,32,130,1084,271,28,9712,790.4,91672,96796,4503,8978,5553,5248,2456.8
"SEA",5,2023,439,60,96,156,237,19.2,52,5,3,13,86,6,4,578,71.7,6739,6440,398,709,856,965,157.8
"SJS",33,2023,3954,662,1076,1738,2418,188.5,496,148,18,98,807,258,12,6830,570.2,63188,60544,2846,5008,6352,5985,2084.7
"STL",33,2023,4576,831,1528,2359,2119,323.7,621,191,19,159,1081,422,25,8583,721.5,82322,78623,3748,4753,6452,6257,1961.7
"TBL",40,2023,6336,1003,1810,2813,3732,353.3,806,162,35,170,1305,473,32,10746,880.7,104468,97910,4778,7685,9619,10044,2933.9
"TOR",43,2023,5616,1168,1643,2811,2530,318.1,884,257,27,175,1284,336,23,10573,947.4,94477,89685,4286,7861,14431,13490,3114
"TOT",229,2023,17181,2312,3715,6027,9813,633.1,1822,440,50,315,2917,725,73,26519,2273,266339,260926,12680,23965,23321,22809,8347.2
"VAN",48,2023,4962,665,1190,1855,3493,219.6,504,141,20,111,850,316,24,7886,759.6,80685,88007,4009,6334,3131,3474,2530
"VEG",23,2023,3224,569,1032,1601,1312,214.2,456,95,18,99,775,231,26,6611,428.5,55841,54962,3028,4378,5542,5369,1498
"WPG",27,2023,3685,590,1013,1603,1774,185.5,447,121,22,100,768,225,20,6159,508.4,62884,63137,2845,5162,4788,4624,1912
"WSH",43,2023,8459,1349,2767,4116,3807,559.3,1019,310,20,219,1975,756,36,14013,1214.9,152352,145204,8792,10553,15325,14484,3535.1
