Name,Age,Position,Team,Contract Type,NHL Clause,Term,Total Value,AAV,Year,Month
Alex Stalock,35,G,ANA,35+ (UFA),0,1,800000,800000,2023,8
Troy Terry,25,RW,ANA,Stnd (RFA),0,7,49000000,7000000,2023,8
Robert Hägg,28,LD,ANA,Stnd (UFA),0,1,775000,775000,2023,7
Radko Gudas,33,RD,ANA,Stnd (UFA),0,3,12000000,4000000,2023,7
Alex Killorn,33,"RW, LW",ANA,Stnd (UFA),0,4,25000000,6250000,2023,7
Nathan Beaulieu,29,LD/RD,ANA,Stnd (UFA),0,1,850000,850000,2022,10
John Klingberg,29,RD,ANA,Stnd (UFA),0,1,7000000,7000000,2022,7
Isac Lundeström,22,"C, LW",ANA,Stnd (RFA),0,2,3600000,1800000,2022,7
Urho Vaakanainen,23,LD/RD,ANA,Stnd (RFA),0,2,1700000,850000,2022,7
Glenn Gawdin,25,"C, RW",ANA,Stnd (UFA),0,2,1525000,762500,2022,7
Frank Vatrano,28,"LW, RW",ANA,Stnd (UFA),0,3,10950000,3650000,2022,7
Ryan Strome,28,"C, RW",ANA,Stnd (UFA),0,5,25000000,5000000,2022,7
Sam Carrick,30,"RW, C",ANA,Stnd (UFA),0,2,1700000,850000,2022,4
Maxime Comtois,22,LW,ANA,Stnd (RFA),0,2,4075000,2037500,2021,8
Max Jones,23,"LW, RW",ANA,Stnd (RFA),0,3,3885000,1295000,2021,8
Ryan Getzlaf,36,C,ANA,35+ (UFA),0,1,4500000,3000000,2021,7
Brogan Rafferty,26,RD,ANA,Stnd (UFA),0,1,750000,750000,2021,7
Alexander Volkov,23,"LW, RW",ANA,Stnd (RFA),1,1,925000,925000,2021,7
Sam Carrick,29,"RW, C",ANA,Stnd (UFA),1,1,750000,750000,2021,7
Ben Hutton,27,LD,ANA,Stnd (UFA),0,1,950000,950000,2021,1
Anthony Stolarz,27,G,ANA,Stnd (UFA),1,2,1900000,950000,2021,1
Ryan Miller,39,G,ANA,35+ (UFA),0,1,1000000,1000000,2020,12
Andy Welinski,27,RD,ANA,Stnd (UFA),0,1,750000,750000,2020,10
Kevin Shattenkirk,31,RD,ANA,Stnd (UFA),0,3,11700000,3900000,2020,10
Derek Grant,30,"LW, C",ANA,Stnd (UFA),0,3,4500000,1500000,2020,10
Jacob Larsson,23,LD,ANA,Stnd (RFA),1,2,2400000,1200000,2020,8
Sonny Milano,24,"LW, RW",ANA,Stnd (RFA),1,2,3400000,1700000,2020,7
Troy Terry,22,RW,ANA,Stnd (RFA),1,3,4350000,1450000,2020,7
Kodie Curran,30,LD,ANA,Stnd (UFA),0,2,2000000,1000000,2020,5
Brendan Guhle,22,LD,ANA,Stnd (RFA),1,2,1600000,800000,2020,5
Sam Carrick,28,"RW, C",ANA,Stnd (UFA),1,1,700000,700000,2020,5
Christian Djoos,25,LD,ANA,Stnd (RFA),1,1,1000000,1000000,2020,5
Jani Hakanpää,28,RD,ANA,Stnd (UFA),1,1,750000,750000,2020,5
Nicolas Deslauriers,29,"LW, RW",ANA,Stnd (UFA),1,2,2000000,1000000,2020,2
Luca Sbisa,29,LD,ANA,Stnd (UFA),0,1,750000,750000,2019,10
Michael Del Zotto,29,LD,ANA,Stnd (UFA),0,1,750000,750000,2019,7
Jani Hakanpää,27,RD,ANA,Stnd (UFA),0,1,850000,850000,2019,7
Anthony Stolarz,25,G,ANA,Stnd (UFA),0,2,1500000,750000,2019,7
Sam Carrick,27,"RW, C",ANA,Stnd (UFA),1,1,700000,700000,2019,6
Ryan Miller,38,G,ANA,35+ (UFA),1,1,2325000,1125000,2019,6
Korbinian Holzer,31,RD,ANA,Stnd (UFA),1,1,850000,850000,2019,6
Derek Grant,29,"LW, C",ANA,Stnd (UFA),1,1,700000,700000,2019,6
Jakob Silfverberg,28,"RW, LW",ANA,Stnd (UFA),1,5,26250000,5250000,2019,3
Nick Ritchie,22,LW,ANA,Stnd (RFA),0,3,4600000,1498925,2018,10
Jake Dotchin,24,RD,ANA,Stnd (UFA),0,1,800000,800000,2018,10
Ondrej Kase,22,RW,ANA,Stnd (RFA),0,3,7800000,2600000,2018,8
John Gibson,25,G,ANA,Stnd (RFA),1,8,51200000,6400000,2018,8
Brandon Montour,24,RD,ANA,Stnd (RFA),0,2,6775000,3387500,2018,7
Adam Henrique,29,"LW, C",ANA,Stnd (UFA),1,5,29125000,5825000,2018,7
