Name,Age,Position,Team,Contract Start Date,Contract Type,NHL Clause,Way Clause,Term,Total Value,AAV
Tristan Luneau,19,RD,ANA,"Sep. 5, 2023",ELC,,2-way,3,"$2,850,000","$896,667"
Alex Stalock,35,G,ANA,"Aug. 7, 2023",35+ (UFA),,1-way,1,"$800,000","$800,000"
Troy Terry,25,RW,ANA,"Aug. 2, 2023",Stnd (RFA),,1-way,7,"$49,000,000","$7,000,000"
Noah Warren,18,RD,ANA,"Jul. 19, 2023",ELC,,2-way,3,"$2,850,000","$896,667"
Lukas Dostal,23,G,ANA,"Jul. 16, 2023",Stnd (RFA),,2-way,2,"$1,625,000","$812,500"
Benoit-Olivier Groulx,23,C,ANA,"Jul. 14, 2023",Stnd (RFA),,2-way,1,"$775,000","$775,000"
Leo Carlsson,18,C,ANA,"Jul. 12, 2023",ELC,,2-way,3,"$12,600,000","$950,000"
Robert Hägg,28,LD,ANA,"Jul. 4, 2023",Stnd (UFA),,1-way,1,"$775,000","$775,000"
Radko Gudas,33,RD,ANA,"Jul. 1, 2023",Stnd (UFA),,1-way,3,"$12,000,000","$4,000,000"
Alex Killorn,33,"RW, LW",ANA,"Jul. 1, 2023",Stnd (UFA),,1-way,4,"$25,000,000","$6,250,000"
Trevor Carrick,28,LD,ANA,"Jul. 1, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Jackson LaCombe,21,LD/RD,ANA,"Apr. 10, 2023",ELC,,2-way,2,"$2,775,000","$925,000"
Judd Caulfield,22,RW,ANA,"Apr. 2, 2023",ELC,,2-way,2,"$1,675,000","$837,500"
Nikita Nesterenko,20,C,ANA,"Mar. 15, 2023",ELC,,2-way,2,"$1,850,000","$925,000"
Jaxsen Wiebe,21,"RW, C",ANA,"Mar. 2, 2023",ELC,,2-way,3,"$2,557,500","$852,500"
Gage Alexander,19,G,ANA,"Dec. 30, 2022",ELC,,2-way,3,"$2,430,000","$810,000"
Nathan Beaulieu,29,LD/RD,ANA,"Oct. 1, 2022",Stnd (UFA),,1-way,1,"$850,000","$850,000"
Tyson Hinds,19,LD,ANA,"Sep. 28, 2022",ELC,,2-way,3,"$2,570,000","$829,444"
John Klingberg,29,RD,ANA,"Jul. 29, 2022",Stnd (UFA),,1-way,1,"$7,000,000","$7,000,000"
Nathan Gaucher,18,C,ANA,"Jul. 28, 2022",ELC,,2-way,3,"$3,577,500","$918,333"
Olli Juolevi,24,LD,ANA,"Jul. 27, 2022",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Isac Lundeström,22,"C, LW",ANA,"Jul. 25, 2022",Stnd (RFA),,1-way,2,"$3,600,000","$1,800,000"
Olle Eriksson Ek,23,G,ANA,"Jul. 22, 2022",Stnd (RFA),,2-way,1,"$750,000","$750,000"
Simon Benoit,23,LD,ANA,"Jul. 22, 2022",Stnd (RFA),,2-way,1,"$750,000","$750,000"
Urho Vaakanainen,23,LD/RD,ANA,"Jul. 22, 2022",Stnd (RFA),,1-way,2,"$1,700,000","$850,000"
Pavel Mintyukov,18,LD,ANA,"Jul. 16, 2022",ELC,,2-way,3,"$5,200,000","$918,333"
Justin Kirkland,25,"LW, RW",ANA,"Jul. 14, 2022",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Austin Strand,25,RD,ANA,"Jul. 14, 2022",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Chase De Leo,26,"C, LW, RW",ANA,"Jul. 14, 2022",Stnd (UFA),,2-way,2,"$1,525,000","$762,500"
Colton White,25,LD,ANA,"Jul. 14, 2022",Stnd (UFA),,2-way,2,"$1,525,000","$762,500"
Glenn Gawdin,25,"C, RW",ANA,"Jul. 14, 2022",Stnd (UFA),,1-way,2,"$1,525,000","$762,500"
Frank Vatrano,28,"LW, RW",ANA,"Jul. 13, 2022",Stnd (UFA),,1-way,3,"$10,950,000","$3,650,000"
Ryan Strome,28,"C, RW",ANA,"Jul. 13, 2022",Stnd (UFA),,1-way,5,"$25,000,000","$5,000,000"
Pavol Regenda,22,"LW, RW",ANA,"Jun. 1, 2022",ELC,,2-way,2,"$1,850,000","$855,000"
Calle Clang,20,G,ANA,"May 5, 2022",ELC,,2-way,3,"$2,775,000","$878,333"
Sam Carrick,30,"RW, C",ANA,"Apr. 26, 2022",Stnd (UFA),,1-way,2,"$1,700,000","$850,000"
Blake McLaughlin,22,LW,ANA,"Apr. 10, 2022",ELC,,2-way,2,"$1,850,000","$883,750"
Joshua Lopina,21,C,ANA,"Mar. 27, 2022",ELC,,2-way,3,"$2,775,000","$878,333"
Drew Helleson,21,RD,ANA,"Mar. 15, 2022",ELC,,2-way,3,"$2,775,000","$925,000"
Olen Zellweger,17,LD,ANA,"Aug. 13, 2021",ELC,,2-way,3,"$2,800,000","$844,167"
Sasha Pastujov,17,"LW, RW",ANA,"Aug. 13, 2021",ELC,,2-way,3,"$2,825,000","$825,000"
Mason McTavish,18,"C, LW",ANA,"Aug. 13, 2021",ELC,,2-way,3,"$10,275,000","$894,167"
Maxime Comtois,22,LW,ANA,"Aug. 9, 2021",Stnd (RFA),,1-way,2,"$4,075,000","$2,037,500"
Max Jones,23,"LW, RW",ANA,"Aug. 9, 2021",Stnd (RFA),,1-way,3,"$3,885,000","$1,295,000"
Josh Mahura,23,LD/RD,ANA,"Aug. 9, 2021",Stnd (RFA),,2-way,2,"$1,500,000","$750,000"
Sam Steel,23,"C, LW",ANA,"Aug. 6, 2021",Stnd (RFA),,2-way,1,"$874,125","$874,125"
Isac Lundeström,21,"C, LW",ANA,"Aug. 6, 2021",Stnd (RFA),,2-way,1,"$874,125","$874,125"
Danny O'Regan,27,"C, LW",ANA,"Jul. 29, 2021",Stnd (UFA),,2-way,2,"$1,500,000","$750,000"
Buddy Robinson,29,RW,ANA,"Jul. 29, 2021",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Greg Pateryn,31,RD,ANA,"Jul. 29, 2021",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Ryan Getzlaf,36,C,ANA,"Jul. 28, 2021",35+ (UFA),,1-way,1,"$4,500,000","$3,000,000"
Brogan Rafferty,26,RD,ANA,"Jul. 28, 2021",Stnd (UFA),,1-way,1,"$750,000","$750,000"
Alexander Volkov,23,"LW, RW",ANA,"Jul. 17, 2021",Stnd (RFA),✔,1-way,1,"$925,000","$925,000"
Vinni Lettieri,26,"C, RW",ANA,"Jul. 13, 2021",Stnd (UFA),✔,2-way,1,"$750,000","$750,000"
Trevor Carrick,26,LD,ANA,"Jul. 13, 2021",Stnd (UFA),✔,2-way,1,"$750,000","$750,000"
Sam Carrick,29,"RW, C",ANA,"Jul. 13, 2021",Stnd (UFA),✔,1-way,1,"$750,000","$750,000"
Ben Hutton,27,LD,ANA,"Jan. 15, 2021",Stnd (UFA),,1-way,1,"$950,000","$950,000"
Anthony Stolarz,27,G,ANA,"Jan. 6, 2021",Stnd (UFA),✔,1-way,2,"$1,900,000","$950,000"
Ryan Miller,39,G,ANA,"Dec. 23, 2020",35+ (UFA),,1-way,1,"$1,000,000","$1,000,000"
Jamie Drysdale,18,RD,ANA,"Nov. 7, 2020",ELC,,2-way,3,"$5,325,000","$925,000"
Jacob Perreault,18,RW,ANA,"Nov. 5, 2020",ELC,,2-way,3,"$2,775,000","$863,333"
Maxim Golod,19,LW,ANA,"Oct. 11, 2020",ELC,,2-way,3,"$2,380,000","$793,333"
Andy Welinski,27,RD,ANA,"Oct. 10, 2020",Stnd (UFA),,1-way,1,"$750,000","$750,000"
Vinni Lettieri,25,"C, RW",ANA,"Oct. 9, 2020",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Kevin Shattenkirk,31,RD,ANA,"Oct. 9, 2020",Stnd (UFA),,1-way,3,"$11,700,000","$3,900,000"
Derek Grant,30,"LW, C",ANA,"Oct. 9, 2020",Stnd (UFA),,1-way,3,"$4,500,000","$1,500,000"
Andrew Poturalski,26,C,ANA,"Oct. 9, 2020",Stnd (UFA),,2-way,1,"$700,000","$700,000"
Chase De Leo,24,"C, LW, RW",ANA,"Oct. 8, 2020",Stnd (UFA),✔,2-way,1,"$700,000","$700,000"
Jacob Larsson,23,LD,ANA,"Aug. 6, 2020",Stnd (RFA),✔,1-way,2,"$2,400,000","$1,200,000"
Sonny Milano,24,"LW, RW",ANA,"Jul. 28, 2020",Stnd (RFA),✔,1-way,2,"$3,400,000","$1,700,000"
Troy Terry,22,RW,ANA,"Jul. 14, 2020",Stnd (RFA),✔,1-way,3,"$4,350,000","$1,450,000"
Kodie Curran,30,LD,ANA,"May 31, 2020",Stnd (UFA),,1-way,2,"$2,000,000","$1,000,000"
Brendan Guhle,22,LD,ANA,"May 9, 2020",Stnd (RFA),✔,1-way,2,"$1,600,000","$800,000"
Sam Carrick,28,"RW, C",ANA,"May 9, 2020",Stnd (UFA),✔,1-way,1,"$700,000","$700,000"
Christian Djoos,25,LD,ANA,"May 6, 2020",Stnd (RFA),✔,1-way,1,"$1,000,000","$1,000,000"
Jani Hakanpää,28,RD,ANA,"May 5, 2020",Stnd (UFA),✔,1-way,1,"$750,000","$750,000"
Roman Durny,22,G,ANA,"Mar. 31, 2020",ELC,,2-way,2,"$1,747,500","$807,500"
Hunter Drew,21,"RW, RD",ANA,"Mar. 27, 2020",ELC,,2-way,3,"$2,380,000","$793,333"
Jack Badini,22,"C, LW",ANA,"Mar. 27, 2020",ELC,,2-way,2,"$1,630,000","$805,000"
Trevor Zegras,19,"C, LW",ANA,"Mar. 27, 2020",ELC,,2-way,3,"$5,325,000","$925,000"
Bryce Kindopp,21,RW,ANA,"Mar. 2, 2020",ELC,,2-way,3,"$2,775,000","$925,000"
Nicolas Deslauriers,29,"LW, RW",ANA,"Feb. 15, 2020",Stnd (UFA),✔,1-way,2,"$2,000,000","$1,000,000"
Brayden Tracey,18,LW,ANA,"Nov. 27, 2019",ELC,,2-way,3,"$2,775,000","$863,333"
Luca Sbisa,29,LD,ANA,"Oct. 23, 2019",Stnd (UFA),,1-way,1,"$750,000","$750,000"
Benoit-Olivier Groulx,19,C,ANA,"Oct. 9, 2019",ELC,,2-way,3,"$2,825,000","$822,500"
Justin Kloos,25,"C, RW",ANA,"Jul. 15, 2019",Stnd (RFA),,2-way,1,"$700,000","$700,000"
Chris Wideman,29,RD,ANA,"Jul. 15, 2019",Stnd (UFA),,2-way,1,"$700,000","$700,000"
Chase De Leo,23,"C, LW, RW",ANA,"Jul. 12, 2019",Stnd (RFA),,2-way,1,"$750,000","$750,000"
Michael Del Zotto,29,LD,ANA,"Jul. 11, 2019",Stnd (UFA),,1-way,1,"$750,000","$750,000"
Andreas Martinsen,29,C,ANA,"Jul. 5, 2019",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Jani Hakanpää,27,RD,ANA,"Jul. 3, 2019",Stnd (UFA),,1-way,1,"$850,000","$850,000"
Andrew Poturalski,25,C,ANA,"Jul. 2, 2019",Stnd (UFA),,2-way,1,"$700,000","$700,000"
Anthony Stolarz,25,G,ANA,"Jul. 2, 2019",Stnd (UFA),,1-way,2,"$1,500,000","$750,000"
Blake Pietila,26,"C, RW",ANA,"Jul. 2, 2019",Stnd (UFA),,2-way,1,"$750,000","$750,000"
Sam Carrick,27,"RW, C",ANA,"Jun. 27, 2019",Stnd (UFA),✔,1-way,1,"$700,000","$700,000"
Ryan Miller,38,G,ANA,"Jun. 20, 2019",35+ (UFA),✔,1-way,1,"$2,325,000","$1,125,000"
Korbinian Holzer,31,RD,ANA,"Jun. 20, 2019",Stnd (UFA),✔,1-way,1,"$850,000","$850,000"
Derek Grant,29,"LW, C",ANA,"Jun. 20, 2019",Stnd (UFA),✔,1-way,1,"$700,000","$700,000"
Lukas Dostal,19,G,ANA,"May 10, 2019",ELC,,2-way,3,"$2,825,000","$822,500"
Simon Benoit,20,LD,ANA,"Mar. 4, 2019",ELC,,2-way,3,"$2,775,000","$809,166"
Jakob Silfverberg,28,"RW, LW",ANA,"Mar. 1, 2019",Stnd (UFA),✔,1-way,5,"$26,250,000","$5,250,000"
Nick Ritchie,22,LW,ANA,"Oct. 18, 2018",Stnd (RFA),,1-way,3,"$4,600,000","$1,498,925"
Jake Dotchin,24,RD,ANA,"Oct. 17, 2018",Stnd (UFA),,1-way,1,"$800,000","$800,000"
