PLAYER,AGE,POS,TEAM,DATE,TYPE,EXTENSION,STRUCTURE,LENGTH,VALUE,CAP HIT
Patrick Kane,34,RW,DET,2023,Stnd (UFA),0,1-way,1,2750000.0,2750000.0
Justin Bailey,27,RW,SJS,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Samuel Laberge,26,C,NJD,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Joel Kiviranta,27,"RW, LW",COL,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Sam Gagner,33,"RW, C",EDM,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Danton Heinen,27,"LW, RW",BOS,2023,Stnd (UFA),0,1-way,1,775000.0,775000.0
Jonah Gadjovich,24,"LW, RW",FLA,2023,Stnd (UFA),0,1-way,1,810000.0,810000.0
Adam Erne,28,"LW, RW",EDM,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Noah Gregor,24,"LW, RW",TOR,2023,Stnd (UFA),0,1-way,1,775000.0,775000.0
Austin Watson,31,"RW, LW",TBL,2023,Stnd (UFA),0,1-way,1,776665.0,776665.0
Zach Aston-Reese,28,"LW, RW",DET,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Colin White,26,"RW, C",PIT,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Max Willman,28,LW,NJD,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Jujhar Khaira,28,"LW, C",MIN,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Patrick Kane,34,RW,DET,2023,Stnd (UFA),0,1-way,1,2750000.0,2750000.0
Justin Bailey,27,RW,SJS,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Samuel Laberge,26,C,NJD,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Joel Kiviranta,27,"RW, LW",COL,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Sam Gagner,33,"RW, C",EDM,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Danton Heinen,27,"LW, RW",BOS,2023,Stnd (UFA),0,1-way,1,775000.0,775000.0
Jonah Gadjovich,24,"LW, RW",FLA,2023,Stnd (UFA),0,1-way,1,810000.0,810000.0
Adam Erne,28,"LW, RW",EDM,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Noah Gregor,24,"LW, RW",TOR,2023,Stnd (UFA),0,1-way,1,775000.0,775000.0
Austin Watson,31,"RW, LW",TBL,2023,Stnd (UFA),0,1-way,1,776665.0,776665.0
Zach Aston-Reese,28,"LW, RW",DET,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Colin White,26,"RW, C",PIT,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Max Willman,28,LW,NJD,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Jujhar Khaira,28,"LW, C",MIN,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Patrick Kane,34,RW,DET,2023,Stnd (UFA),0,1-way,1,2750000.0,2750000.0
Justin Bailey,27,RW,SJS,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Samuel Laberge,26,C,NJD,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Joel Kiviranta,27,"RW, LW",COL,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
Sam Gagner,33,"RW, C",EDM,2023,Stnd (UFA),0,2-way,1,775000.0,775000.0
