,AGE,CAP_HIT,DATE,EXTENSION,LENGTH,PLAYER,POS,STRUCTURE,TEAM,TYPE,VALUE,id
0,31,800000,2020,0,1,Aaron Dell,G,1-way,TOR,Stnd (UFA),800000,AaronDell2020
1,30,600000,2013,0,1,Aaron Johnson,D,1-way,NYR,Stnd (UFA),600000,AaronJohnson2013
2,28,1500000,2012,0,3,Aaron Rome,D,1-way,DAL,Stnd (UFA),4500000,AaronRome2012
3,29,1850000,2012,0,4,Adam Burish,RW,1-way,SJS,Stnd (UFA),7400000,AdamBurish2012
4,24,650000,2017,0,1,Adam Clendening,RD,1-way,ARI,Stnd (UFA),650000,AdamClendening2017
5,32,650000,2018,0,1,Adam Cracknell,RW,1-way,TOR,Stnd (UFA),650000,AdamCracknell2018
6,25,750000,2022,0,1,Adam Gaudette,"C, RW",1-way,TOR,Stnd (UFA),750000,AdamGaudette2022
7,32,600000,2013,0,1,Adam Hall,RW,1-way,PHI,Stnd (UFA),600000,AdamHall2013
8,29,600000,2013,0,1,Adam Pardy,LD,1-way,WPG,Stnd (UFA),600000,AdamPardy2013
9,31,1000000,2015,0,1,Adam Pardy,LD,1-way,WPG,Stnd (UFA),1000000,AdamPardy2015
10,25,762500,2022,0,2,AJ Greer,"RW, LW",1-way,BOS,Stnd (UFA),1525000,AJGreer2022
11,27,750000,2020,0,1,Alan Quine,C,1-way,EDM,Stnd (UFA),750000,AlanQuine2020
12,33,1000000,2017,0,1,Ales Hemsky,RW,1-way,MTL,Stnd (UFA),1000000,AlesHemsky2017
13,25,900000,2017,0,1,Alexander Burmistrov,"C, RW",1-way,VAN,Stnd (UFA),900000,AlexanderBurmistrov2017
14,35,3500000,2021,0,1,Alexander Edler,LD,1-way,LAK,35+ (UFA),3500000,AlexanderEdler2021
15,30,6250000,2017,0,5,Alexander Radulov,RW,1-way,DAL,Stnd (UFA),31250000,AlexanderRadulov2017
16,28,7000000,2012,0,1,Alexander Semin,"RW, LW",1-way,CAR,Stnd (UFA),7000000,AlexanderSemin2012
17,31,1100000,2015,0,1,Alexander Semin,"RW, LW",1-way,MTL,Stnd (UFA),1100000,AlexanderSemin2015
18,25,2250000,2020,0,1,Alexander Wennberg,C,1-way,FLA,Stnd (UFA),2250000,AlexanderWennberg2020
19,26,4500000,2021,0,3,Alexander Wennberg,C,1-way,SEA,Stnd (UFA),13500000,AlexanderWennberg2021
20,26,660000,2017,0,1,Alex Chiasson,RW,1-way,WSH,Stnd (UFA),660000,AlexChiasson2017
21,27,650000,2018,0,1,Alex Chiasson,RW,1-way,EDM,Stnd (UFA),650000,AlexChiasson2018
22,28,2150000,2019,0,2,Alex Chiasson,RW,1-way,EDM,Stnd (UFA),4300000,AlexChiasson2019
23,30,750000,2021,0,1,Alex Chiasson,RW,1-way,VAN,Stnd (UFA),750000,AlexChiasson2021
24,39,1000000,2013,0,1,Alexei Kovalev,RW,1-way,FLA,35+ (UFA),1000000,AlexeiKovalev2013
25,32,1800000,2012,0,1,Alexei Ponikarovsky,LW,1-way,WPG,Stnd (UFA),1800000,AlexeiPonikarovsky2012
26,26,1050000,2020,0,1,Alex Galchenyuk,"LW, C, RW",1-way,OTT,Stnd (UFA),1050000,AlexGalchenyuk2020
27,27,750000,2021,0,1,Alex Galchenyuk,"LW, C, RW",1-way,ARI,Stnd (UFA),750000,AlexGalchenyuk2021
28,35,5000000,2021,0,1,Alex Goligoski,LD/RD,1-way,MIN,35+ (UFA),5000000,AlexGoligoski2021
29,30,8800000,2020,0,7,Alex Pietrangelo,RD,1-way,VGK,Stnd (UFA),61600000,AlexPietrangelo2020
30,34,750000,2022,0,1,Alex Stalock,G,1-way,CHI,Stnd (UFA),750000,AlexStalock2022
31,27,601000,2012,0,1,Al Montoya,G,1-way,WPG,Stnd (UFA),601000,AlMontoya2012
32,28,601000,2013,0,1,Al Montoya,G,1-way,WPG,Stnd (UFA),601000,AlMontoya2013
33,29,1050000,2014,0,2,Al Montoya,G,1-way,FLA,Stnd (UFA),2100000,AlMontoya2014
34,28,7000000,2019,0,7,Anders Lee,"LW, C",1-way,NYI,Stnd (UFA),49000000,AndersLee2019
35,27,2500000,2017,0,2,Anders Nilsson,G,1-way,VAN,Stnd (UFA),5000000,AndersNilsson2017
36,25,1200000,2020,0,1,Andreas Athanasiou,"LW, RW",1-way,LAK,Stnd (UFA),1200000,AndreasAthanasiou2020
37,27,3000000,2022,0,1,Andreas Athanasiou,"LW, RW",1-way,CHI,Stnd (UFA),3000000,AndreasAthanasiou2022
38,29,900000,2013,0,1,André Benoît,LD,1-way,COL,Stnd (UFA),900000,AndréBenoît2013
39,30,800000,2014,0,1,André Benoît,LD,1-way,BUF,Stnd (UFA),800000,AndréBenoît2014
40,27,5500000,2022,0,5,André Burakovsky,"RW, LW",1-way,SEA,Stnd (UFA),27500000,AndréBurakovsky2022
41,29,5500000,2015,0,6,Andrej Sekera,LD/RD,1-way,EDM,Stnd (UFA),33000000,AndrejSekera2015
42,33,1500000,2019,0,1,Andrej Sekera,LD/RD,1-way,DAL,Stnd (UFA),2000000,AndrejSekera2019
43,27,1300000,2018,0,1,Andrej Sustr,RD,1-way,ANA,Stnd (UFA),1300000,AndrejSustr2018
44,32,600000,2013,0,1,Andrew Alberts,D,1-way,VAN,Stnd (UFA),600000,AndrewAlberts2013
45,34,1000000,2021,0,1,Andrew Cogliano,LW,1-way,SJS,Stnd (UFA),1000000,AndrewCogliano2021
